,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
194191,1SrortsS5AAXnAWQfznJEQ,Me Hubiera Gustado Tanto,28,222933,0,['Rocío Jurado'],['1FlYevYLENR3IMgMlnMvf9'],1984-03-11,0.539,0.293,4,-18.276,1,0.0386,0.527,0.0,0.164,0.517,77.464,3
339085,2HxgrEmbX64b7KyPCIzPAh,Det Å Være Ung,13,242053,0,['Unit Five'],['6T4bZbe7ryJvLwtRmCXqez'],1981,0.746,0.544,2,-8.707,1,0.0425,0.0931,0.0,0.27,0.898,125.344,4
137011,78MhZkCx2DRoJ5OSICn2K6,Yesterdays,12,148267,0,['Johnny Griffin'],['52cM6vrM4MJ8g4H7Ibo5fZ'],1956-01-01,0.524,0.154,2,-15.825,0,0.0405,0.939,0.888,0.152,0.313,133.813,4
484145,1SnDil8eLngwgVG4KO8Zkp,049 - und die Comic-Diebe - Teil 23,36,64733,0,['Die drei ???'],['3meJIgRw7YleJrmbpbJK6S'],1990-11-26,0.682,0.614,11,-6.904,0,0.933,0.492,0.0,0.201,0.788,122.554,4
145413,0d520or0gRlLQvS2L6mX2H,008 - und ein Zigeunermädchen - Teil 11,28,55347,0,['Fünf Freunde'],['1hD52edfn6aNsK3fb5c2OT'],1979-04-02,0.748,0.559,7,-9.865,1,0.894,0.824,0.0,0.373,0.652,100.093,3
297459,4PZDVaN1JNyEDK7Yahtzoh,School,23,334293,0,['Supertramp'],['3JsMj0DEzyWc0VDlHuy9Bx'],1974-09-01,0.354,0.644,4,-11.206,0,0.0728,0.415,0.0158,0.0939,0.0411,92.398,4
285949,7xqti214kTYnmT84pwA1KI,Ela É Top,45,162633,0,['Mc Bola'],['4ulY4o7oEoqJlqc0V6R3Bc'],2016-10-18,0.688,0.729,1,-5.424,0,0.428,0.364,0.0,0.182,0.919,78.847,4
414033,0jYWOYNOVsvcL09GEk3Tva,甘願,23,236093,0,['Julia Peng'],['7B4GBM2vQJvwyghdsvEV77'],2007-04-04,0.344,0.311,1,-8.877,1,0.0326,0.783,0.0,0.114,0.292,151.784,4
283973,2tHBSFnYfRwNaIYneXArBe,Doa a quem doer,16,221920,0,['Boss AC'],['2AiLSd9HXwfFwO9g00s2hk'],1998-11-16,0.842,0.625,11,-7.847,0,0.0901,0.0639,4.4e-05,0.0651,0.791,100.024,4
340313,0ouJjSRuXNRvDiAzTwm1i0,"Se, Vi Går Opp Til Jerusalem",15,151253,0,['Sondre Bratland'],['6i7JFNruamgC8rflnRYHGG'],1990-05-10,0.229,0.0385,5,-18.096,0,0.0384,0.952,0.0,0.0973,0.135,60.474,4
481237,3703q6PJ3GwQi0iA1P69Jg,Domingo,19,267000,0,"['Animal de Ciudad', 'Vero Pérez']","['1ztGrQE8wrNwgewKy9JcTG', '5tfST7r1GGYN3r46RysLRh']",2013-07-21,0.616,0.677,11,-6.779,0,0.0666,0.771,1.14e-06,0.096,0.822,173.049,4
270402,7IBY0qqOtRGnRckXJp6lwl,UNFINISHED,31,268413,0,['X JAPAN'],['4VrqQQy6X0hlMtqY5gp6Wx'],1989,0.561,0.512,3,-8.026,0,0.0277,0.458,3.04e-06,0.077,0.269,77.291,4
148044,1L8HGcq6VPOyBps1cgIKaP,Kapitel 36 - reißt aus (Folge 025),31,53526,0,['Bibi Blocksberg'],['3t2iKODSDyzoDJw7AsD99u'],1985,0.614,0.183,6,-29.907,1,0.937,0.403,0.0,0.21,0.568,173.006,3
208910,5l84vnSjoeOeMFNVbyRKVH,Mentirosa,51,194800,0,['Rafaga'],['0CBKUzrf6yGdTgxAQbUUHS'],2003,0.632,0.8,5,-5.294,0,0.0736,0.0624,0.00127,0.328,0.846,200.979,4
399184,5shOzd2WSLXtlN4vrW7o89,Rize - 2017 Remaster,0,630000,0,"['MantraC (aka Mr.C)', 'Mr.C']","['45BE8j7f0mVRWRZRM6I8tg', '0piUOnsLrRyHIsRx9djzxz']",2017-12-11,0.68,0.855,7,-8.956,1,0.044,0.00229,0.946,0.0763,0.903,123.55,4
575640,5RFHiLHCt7dDgKfCAdD5vj,Hey Barbara,53,232761,0,['IV Of Spades'],['4k9wp4ipHdA1bu1T4x1ZTG'],2017-07-14,0.836,0.531,10,-8.871,1,0.0584,0.217,5.43e-05,0.074,0.965,124.007,4
186034,5RjbFGeWVsCpw8EcE8OrvZ,Gone,56,333293,1,"['Kanye West', 'Consequence', 'Cam’ron']","['5K4W6rqBFWDnAN6FQUkS6x', '5KkgZ31b9eDwkvo9oMIrSm', '7iMvwE8qANp3aIfAGKEAwS']",2005-08-30,0.842,0.668,1,-6.043,1,0.26,0.015,0.0,0.0699,0.345,92.703,4
266433,1QZeQsFysmjg0EjbigQdaB,"Violin Concerto No. 4 in D Major, K. 218: I. Allegro - Remastered",4,488693,0,"['Wolfgang Amadeus Mozart', 'Jascha Heifetz', 'Sir Malcolm Sargent']","['4NJhFmfw43RLBLjQvxDuRS', '7yaBUcdjmqPP2vIv6F5bFD', '4FVncYpcoiyS5lY2ElwtK8']",1962,0.4,0.287,2,-14.968,1,0.0384,0.939,0.727,0.116,0.436,128.207,4
441005,4tx5xga5hJhRUbWzA9Ndrt,Always to Win,8,316107,0,['Cry Before Dawn'],['4S6peRV3B8YuzcnBBAG0Rd'],1989-10-18,0.238,0.49,9,-12.731,1,0.0333,0.652,3.02e-06,0.0728,0.247,104.485,3
104258,31mV00I8jdeUK7aHrSNV64,Respectable - Extended Version,35,374827,0,['Mel & Kim'],['4k7b3DWqBnYpobDWbNWLdM'],1987,0.792,0.935,0,-7.107,1,0.0596,0.00149,0.0229,0.112,0.938,122.419,4
253512,7ju0I6nbkKwHRnsYKLtOhG,La flor más bella - En Vivo,46,174333,0,['Memphis La Blusera'],['55j4xUfI5AATqETp8AnrRp'],2004-11-09,0.57,0.948,9,-3.341,1,0.045,0.15,1.94e-06,0.946,0.645,119.421,4
168859,0TKoH9iKk7KU7ksxKc6BBk,Tiu tau tilhi,16,134667,0,['Anni Tannin Lapsilaulajat'],['403vcvemTJaEI0btvZtfO3'],1991-06-10,0.286,0.03,0,-19.199,0,0.041,0.985,0.0,0.171,0.327,141.56,3
107615,7KjkbxsIvUBsRQnb0EVmP3,Le Tla Nkgopola,14,214840,0,['Sammy Malete'],['0SzASF5sAThohEj1EeyaP5'],1995-10-30,0.601,0.844,8,-10.522,1,0.0494,0.295,0.107,0.25,0.835,111.978,3
545356,3bq3HBHC08dHt1xbHrvqcz,Soorebased,30,187973,0,['Vaiko Eplik'],['4bUkC2pVAl1Hk0uXok7W1t'],2012-06-06,0.525,0.643,4,-7.451,0,0.0337,0.158,0.0606,0.105,0.809,140.168,4
400408,54XyhRMNYql10BhZEjVd6P,Te lo prometto,59,184968,0,['Il Tre'],['4p5IspnsqtILeRtckOxumu'],2021-02-19,0.804,0.841,10,-5.106,0,0.195,0.144,0.0,0.248,0.637,121.949,4
372152,5UilRnBVsuAVfVCsc7vnXA,Alaimisema,36,189780,0,['Mabel Matiz'],['1dpqJqIuNqideTvmxBsSku'],2012-12-28,0.733,0.664,4,-10.631,0,0.0331,0.696,0.000437,0.135,0.79,103.021,4
149848,6h3q2ozONm9u2KquasBv0W,Soy Colombiano,39,163187,0,['Garzon y Collazos'],['0FmDjtiMoFHZG4f83cQjVI'],1990-01-15,0.523,0.378,2,-12.546,0,0.0613,0.853,1.3e-06,0.136,0.464,143.501,3
164777,6utguVu0ikdVdcGn8Achat,Tanssimaa,12,295373,0,['Juice Leskinen Slam'],['1F5luCKmbkRLdxkqPcZJOc'],1979,0.456,0.228,4,-14.54,0,0.0318,0.692,3.36e-05,0.0983,0.234,120.334,4
495940,4ovH9QHyE2FsEFksftbDNF,054 - Alarm! Klößchen ist verschwunden - Teil 17,28,107507,0,['TKKG Retro-Archiv'],['0i38tQX5j4gZ0KS3eCMoIl'],1987-10-01,0.705,0.628,9,-7.621,0,0.929,0.624,0.0,0.355,0.529,130.533,4
136920,1iCH0cj2lLBvLtHgTSShiA,Come Sleep,6,81507,0,['Louise Bogan'],['25vnK18XXAav788qO25sNU'],1955,0.66,0.059,0,-22.346,1,0.896,0.728,2.14e-06,0.138,0.249,146.787,3
494428,7ERM7jRhFsXHan40xRbr9d,Bodo Ballermann,20,198200,0,['Udo Lindenberg'],['7iWcRnQMinCoV2u5ICgsW0'],1973-09-01,0.813,0.432,0,-10.902,0,0.0494,0.397,1.49e-06,0.344,0.908,113.837,4
169134,0DGzU52DSjlLgI2lWlQ1ph,Duke Of Earl,36,166493,0,['The Boppers'],['1vLVhyvTemQZ6bd5oY1Fql'],1991-01-01,0.683,0.615,1,-9.16,0,0.0273,0.578,0.0175,0.0438,0.829,103.54,4
420896,3MfRql0HwuxEZzGpoIC832,Six Feet Under The Stars,55,216547,0,['All Time Low'],['46gyXjRIvN1NL1eCB8GBxo'],2007-09-25,0.488,0.967,3,-2.701,1,0.0755,0.0147,0.0,0.109,0.341,130.928,4
133421,3jRCy7sTVAOeVkv3KlFXrB,"Sweet Sue, Just You",0,187007,0,['Earl Burtnett'],['5MoXadCRMMnUEQfHu4uGpS'],1929,0.263,0.289,7,-15.47,1,0.0383,0.995,0.945,0.22,0.9,204.22,4
128873,4O76joQmZKoZm78s0vOHTJ,The Book Lovers,47,289627,0,['Broadcast'],['0WtTGUjbur1R1cNzBvbsMU'],1997-06-09,0.191,0.406,9,-12.165,1,0.0383,0.0725,0.783,0.0734,0.0374,117.062,4
81030,2ZjWh3wkvambPHnSlZ2k4H,Neujahrsgruß / New Year's Address / Allocution du Nouvel An,1,77187,0,"['Various Artists', 'Zubin Mehta', 'Wiener Philharmoniker']","['0LyfQWJT6nXafLPZqxe9Of', '3FEd0qHPFOgcpfw7bCXB4x', '003f4bk13c6Q3gAUXv7dGJ']",2007,0.416,0.728,1,-22.558,1,0.286,0.733,0.0,0.935,0.0388,100.58,3
283771,1GisyXARtbJNHTCe7eAoyC,Estou Apaixonado,23,267160,0,['Lucas & Matheus'],['0qmIjxHHwMKndWrxJmUTWJ'],1997-03-12,0.313,0.329,0,-11.604,1,0.0309,0.521,0.0,0.0728,0.358,70.73,3
78166,6WuPQbkxEi5xyBtlvvFjQm,Grão de Amor,58,185213,0,['Arnaldo Antunes'],['7lOUbhzQ1F3xcCMEcTtbO5'],2004-04-01,0.716,0.291,9,-10.162,1,0.0382,0.858,3.28e-05,0.113,0.335,106.809,3
492030,0TcTVE3Zv3mE4wmKleRnsB,The Calling,40,186347,1,['Hilltop Hoods'],['7dlqUnjoF2U2DkNDMhcgG4'],2003-09-22,0.807,0.786,1,-5.474,1,0.0961,0.411,0.0,0.18,0.622,94.025,4
424160,0yZh1y2Gx2JrMv4mKoLUo6,Volcán,32,219160,0,['José José'],['4mN0qcMxWX8oToqfDPM5yV'],1994-06-21,0.544,0.279,0,-16.105,1,0.0327,0.678,0.0,0.243,0.49,126.664,4
170377,62yqFNkzBeWUPqLnUacRdO,Uinu armainen,17,227800,0,"['Erkki Marjasvaaran Orkesteri', 'Päivi Paulin']","['5dglEMTPiIPQB24M0EUGZA', '3t6BlaabQTwXOvbsQJWDhU']",1995,0.202,0.248,0,-15.823,1,0.0412,0.801,0.924,0.093,0.0566,119.492,4
471313,50c7m3clqlpzW0B9X2MGRF,First Romance,9,144200,0,['Conway Twitty'],['7gi3jmwpUpNWdswT8eEprF'],1959-01-01,0.589,0.328,2,-10.969,1,0.0287,0.91,9.87e-06,0.261,0.704,83.172,4
185414,08TchR5zJ1M9TgcGAYe4cd,Pimp Like Me,52,356960,1,['D12'],['5Qi4Bb7a8C0a00NZcA77L0'],2001-01-01,0.878,0.544,9,-4.618,0,0.284,0.0981,0.0,0.198,0.546,135.987,4
28411,3AZO0xzf7q48Ll0sfVRBuN,A Man Chases A Girl (Until She Catches Him),6,315733,0,"['Irving Berlin', 'Donald O´Connor', 'Marilyn Monroe']","['32zXZpxwb2bq7oGzAhe1Ii', '1yEfnpGYltiMGUHBFGcP9O', '5sEocv1pFst7o3pam69obY']",1954,0.392,0.357,5,-11.076,1,0.0412,0.702,0.00576,0.186,0.402,66.166,3
93442,630DpnzdfjdVqv2yLfPbAX,Bertaut,78,315961,0,['Nadin Amizah'],['20zafXaLhm5IcXnSU93rNn'],2020-05-28,0.47,0.131,6,-13.29,1,0.0362,0.933,0.00245,0.109,0.115,118.836,3
457117,70jQSAjZwTN1r4doOHkCcE,La Femme D'hector,3,170945,0,['Barbara'],['4TNiKyCX2oCvdo1sTgHcRw'],1959-02-03,0.651,0.607,0,-0.017,1,0.158,0.933,0.0,0.168,0.901,91.15,3
228428,2RUp6oa339dNYAW21p1h1S,נשרפתי,18,241200,0,['Avi Biter'],['0ELP9dJqtW5kHzE6wMM7cF'],2002-10-20,0.657,0.677,9,-12.043,1,0.0382,0.131,0.000298,0.127,0.735,105.143,4
488984,2pfajuE2OPSOWB9raefFoM,Madalena,1,127373,0,"['Fafá Lemos', 'Garoto', 'Chiquinho do Acordeon']","['6UTPJxB28LqUtoCqCWfxtY', '5m3gnxcM2reIB8tyTtx8vC', '0Qrwqs8MJdiRZ6L2UZurit']",1955-03-01,0.71,0.478,9,-12.747,0,0.255,0.94,0.453,0.244,0.833,128.785,4
124164,1ZQAYhrJuPzgZgpIyGl0FU,Kapitel 49 - Die drei Ehen der Grand Sophy,2,123599,0,"['Georgette Heyer', 'Brigitte Carlsen']","['66pXJ6MhX37ZLneiwUWZf3', '3MPaGKrNJjIcC6cT2VpsVI']",1950,0.72,0.229,6,-19.249,1,0.963,0.453,0.0,0.397,0.558,91.006,4
559808,1cYA3YfOwvpaw7Tj87GpHT,Magic of Love,40,221760,0,['Perfume'],['2XMxWKPKCxoLkSdpCViCnr'],2013-01-01,0.626,0.941,11,-2.378,0,0.0453,0.0197,0.0,0.351,0.928,127.989,4
453357,3YLfqS8XI95ZwqklFLdBDs,Arrivederci my love goodbye,19,190707,0,['The Sunny Boys'],['5dgxeHIfUje1iIA1kHO1oj'],1992-08-01,0.493,0.464,4,-11.376,1,0.0331,0.57,7.3e-06,0.386,0.598,118.429,4
87026,0y7pq5QTnfAmfWPVZAfryc,Imaginary - XQ Edit,26,192500,0,"['Brennan Heart', 'Jonathan Mendelsohn']","['5QySqc6yAFDx9m7fedFZmC', '5d1oOpLkM76Tgr2zWMTYkm']",2014-12-12,0.552,0.594,2,-6.449,1,0.0306,0.298,6.17e-05,0.262,0.287,149.907,4
1862,4NgQxw0duwOJhmovUZu8zJ,Functionizin',27,185693,0,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.751,0.274,5,-13.229,1,0.0863,0.753,0.543,0.0863,0.804,173.782,4
581009,1mxfonIMABwtNxmseLa87z,Starkare än ord,27,205480,0,['Peter LeMarc'],['4VKbol7eCoEJUemlKvE3Ve'],1995-01-01,0.6,0.435,4,-7.073,1,0.0273,0.643,0.00109,0.129,0.274,139.957,4
314019,4wXAOIVyWtbQLIrwG4DdvV,Fantasia No. 16 (arr. for guitar),2,188547,0,"['Andrés Segovia', 'Luis de Milán']","['3Din7QXYnTjT52WF62KS97', '6hL1sMocdTmroDoZS5l86j']",1954,0.583,0.121,4,-21.13,0,0.0627,0.857,0.778,0.229,0.429,126.798,4
530074,0qJcqGNUmwEuZSxqhXrKsR,Chiluka Kshemama,40,333505,0,"['S. P. Balasubrahmanyam', 'K. S. Chithra']","['2ae6PxICSOZHvjqiCcgon8', '2IUtwMti1OiT3lkW6RubgH']",2014-08-01,0.717,0.753,6,-7.34,0,0.0368,0.065,0.0777,0.093,0.962,107.18,4
300641,4pL9ETjnMbqSay3CiHd9GB,The Choice Is Yours,40,243333,0,['Black Sheep'],['0NnCgUxhtWt1yBtpDyvFQf'],1994-01-01,0.866,0.679,7,-12.073,1,0.206,0.0321,0.0,0.075,0.69,101.317,4
462688,2Pt8kO2yfRp3AP7GvFFNaB,Je profite,39,122455,0,['Jul'],['3IW7ScrzXmPvZhB27hmfgy'],2014-06-16,0.907,0.647,10,-5.373,1,0.0592,0.759,0.0,0.212,0.394,110.027,4
127839,1kmUFq1mKS1NZjQjJ5GLeX,Kapitel 10 - und das Osterfest (Folge 033),36,61118,0,['Benjamin Blümchen'],['1l6d0RIxTL3JytlLGvWzYe'],1983,0.747,0.42,8,-14.941,1,0.961,0.863,0.0,0.26,0.711,79.073,3
310827,0Sgu9Ru8duLe05OrurxNnv,Jens Oluf's Fiat,22,178933,0,['Tørfisk'],['5qZ0732i4wdS86JSxYt9Te'],2003-01-01,0.664,0.46,7,-8.453,1,0.0356,0.566,0.0,0.331,0.81,105.806,4
558637,7IXcherhwXFnmuMcrVggwX,ブラインドタッチ - 2020,1,267044,0,['Mellowhead'],['60VZiaKmhyt8EmMW6K68QY'],2020-10-14,0.705,0.622,2,-7.301,1,0.0531,0.0208,0.000224,0.0495,0.919,109.967,4
157563,5nLmO6pp71pmiVZwyTPfq9,Nobody Has to Know,61,222893,1,['Kranium'],['1LKo6ZA3RNvKtLa6zDu32S'],2015-10-16,0.792,0.682,11,-4.96,0,0.173,0.00168,0.0,0.169,0.666,84.983,4
34381,2cp9P6pU2HrXwQI3yHtqpV,Tensions - Alternative; Version,19,319933,0,['Charles Mingus'],['1W8TbFzNS15VwsempfY12H'],1960-03,0.461,0.425,3,-11.063,1,0.0536,0.777,0.553,0.109,0.427,92.746,4
12798,0m1kQIirE3UinudbneZmgM,"Trio No. 3 in B-Flat Major, K. 502: I. Allegro",0,481627,0,"['Wolfgang Amadeus Mozart', 'Lili Kraus', 'Willy Boskovsky', 'Nikolaus Hubner']","['4NJhFmfw43RLBLjQvxDuRS', '0Pm5fjHmBvJJz5WxvLhliA', '75p1dc1Sc0gxpumUFuTRdC', '6sxf8PDW1YsLuSoS1Rmgdy']",1938,0.416,0.245,5,-15.172,1,0.0307,0.979,0.227,0.219,0.534,143.098,4
177035,3KzemxaWSSiYtnzOokd0Rs,How Far I'll Go,62,163386,0,"[""Auli'i Cravalho""]",['5mnS9jJdKQQcRSqFu5YPVe'],2016-11-18,0.574,0.31,4,-10.976,1,0.0482,0.61,0.0,0.209,0.123,83.706,4
175095,0blJZA24Eetzo4gvaq0YAM,Jokaiselle jotakin,43,188907,0,['Ruger Hauer'],['2SlRbL2FCBYdEmsAW35b4m'],2010-11-29,0.695,0.571,0,-6.18,1,0.241,0.153,0.0,0.116,0.442,89.035,4
13385,2UiuXft532jBc6XZY6smb8,Brasil,4,173756,0,"['Dalva De Oliveira', 'Francisco Alves']","['5dwu0jLFd2fRnlY8UUJIVk', '7pjGFyFFzIThPQNEfLRdiP']",1939-03-20,0.522,0.665,11,-7.876,1,0.127,0.836,0.197,0.781,0.815,118.786,4
499682,534M2uZoHCcDAGNNKBMu92,Hoffentlich Nicht - Famebeatz Remix,44,209160,1,['Brockmaster B.'],['0KORthDLKdfXtb9E58Uy0Q'],2009-03-27,0.688,0.603,9,-10.376,0,0.29,0.314,1.42e-05,0.0787,0.477,172.063,4
179058,0PAq1DRlOGBAjXLno94j6b,Run,61,236748,0,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],2015-11-30,0.554,0.878,11,-3.02,0,0.0513,0.00146,0.0,0.0998,0.55,132.889,4
173208,5YwzAzs38L7CFEQPlZXFgZ,Triple Corpse Hammerblow,37,246640,0,['Children Of Bodom'],['1xUhNgw4eJDZfvumIpcz1B'],2003,0.386,0.965,2,-4.01,1,0.0521,5.84e-06,0.681,0.373,0.431,155.054,4
507490,5TQbLDNe2P77LvmmjjREf2,"Bort, Bluest Békességet",12,317680,0,['Bill Gyula Deák'],['4SjPwyTb5zzqtYQBDJExZD'],1999-11-15,0.546,0.458,0,-8.569,1,0.0364,0.577,8.27e-06,0.107,0.184,115.437,3
572711,4ToAxwsji7eoLlZHLI3kIN,Sweet Baby Boy,24,181707,0,['Rita Baloche'],['2vrCVfUJJjVDwfTxgHEDKa'],1993-01-01,0.402,0.111,7,-18.763,1,0.0393,0.956,0.00691,0.108,0.419,111.457,3
522543,2en58opvPKM0Ek6OFpcGJx,Mera Kuchh Samaan,41,398973,0,['Asha Bhosle'],['5as8A4G47Ohu9NSWs3Je8U'],1986-01-01,0.438,0.315,0,-12.45,1,0.0355,0.914,0.00184,0.189,0.418,169.781,4
74026,1euKWJfJSfPhgSendPrcXb,From Me To You - Mono / Remastered,59,116160,0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.581,0.821,0,-4.387,1,0.0318,0.507,0.0,0.108,0.968,136.145,4
252670,5KOTHdViN79JDcwtQTibPx,Paciência,43,284333,0,['Lenine'],['4YLBdrR3DVSMncm785NH6C'],1999-09-22,0.633,0.363,7,-10.378,1,0.0377,0.847,0.00929,0.188,0.147,108.643,4
553167,2a7nJEIW7EsBWcN5asf0Zi,追憶のマーメイド - Remastered,28,236893,0,['THE YELLOW MONKEY'],['1xCdTZ5Wu70H6YwsmpgmHg'],1998,0.475,0.94,9,-3.532,0,0.0362,0.000269,2.35e-06,0.0789,0.863,131.648,4
319365,7gJxGUN1DvCzQiAH6gAbol,Bíópopp - syrpa,10,372402,0,['Rokklingarnir'],['2k728wnxPf29FiLmIEhOhk'],1997-01-01,0.692,0.556,5,-7.36,1,0.0296,0.754,0.00136,0.0912,0.348,117.54,4
118910,3NjWLGFdazlGUxu65qi5ur,"Symphony No. 35 in D Major, K. 385 ""Haffner"": IV. Finale. Presto",0,215547,0,"['Wolfgang Amadeus Mozart', 'George Szell', 'Cleveland Orchestra']","['4NJhFmfw43RLBLjQvxDuRS', '2CFaOiHKik5FgNGzZJ08sx', '0jJszR81GjA87jeRq0Jgwz']",1947,0.411,0.29,2,-13.729,1,0.0333,0.805,0.855,0.103,0.49,75.228,4
444970,4caVIPXaKAmEyPIpTqKWW3,Don't Come Running Back to Me,12,145973,0,"['Dinah Washington', 'Malcolm Addey']","['32LHRiof0sa4taYew9i3Fa', '4v0dBZBhhgZctlUGPFOGyH']",1963,0.536,0.187,0,-13.27,1,0.0396,0.803,3.45e-05,0.119,0.408,67.491,4
4678,5EczEaeVRNjfeTTSZFSm7v,Pillerias - Remasterizado,0,150413,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1928-05-14,0.629,0.39,4,-16.404,1,0.0554,0.992,0.000301,0.168,0.902,116.436,4
416671,7zSU3vmyLCHDW69Zbxuigy,親愛的朋友,52,154064,0,['Katncandix2'],['3bnBRciC7Gz8urBu9gEQAw'],2021-02-26,0.859,0.458,11,-8.733,1,0.0513,0.608,0.0,0.0754,0.669,115.511,4
41803,0QExRUtwXW3SmSyOqNTc1e,"La fille du régiment / Act 1: Ah! mes amis, quel jour de fête!",44,103867,0,"['Gaetano Donizetti', 'Luciano Pavarotti', 'Orchestra of the Royal Opera House, Covent Garden', 'Richard Bonynge']","['2jCGEMSZXMSOImpD8sqo56', '0Y8KmFkKOgJybpVobn1onU', '2t5BHUdyeL3NBKqpOpaA4V', '6JAPOSeaWl61UBRKZYgAeZ']",1968-01-01,0.467,0.309,3,-14.882,1,0.0962,0.977,0.00143,0.181,0.461,81.555,4
209373,6sinw4zZPdNS2ftU1QfTyK,A Bad Dream,54,304280,0,['Keane'],['53A0W3U0s8diEn9RhXQhVz'],2006-06-12,0.408,0.729,1,-4.918,1,0.0302,0.00731,3.98e-06,0.172,0.279,145.055,4
400235,62UFqGkqbTGr5n3ho5QF0n,Denim Giappo (feat. Luchè),66,145301,1,"['Guè Pequeno', 'Dj Harsh', 'Luche']","['7F2utINZ6tSokSiZTQBE27', '5BNE7AF1Sp5bWiqtXpekFq', '3yiEJ9SByXZMXTwaKdVFN4']",2021-04-08,0.496,0.854,2,-4.972,1,0.375,0.133,0.0,0.0806,0.698,166.333,4
403999,2tutsQ0N4sZkJbBEVGyaeJ,Ku Milik Mu,28,219973,0,"[""Dato' Sri Siti Nurhaliza""]",['5d0bxRte3J74ZXyEGRL8uU'],2003-03-03,0.803,0.644,8,-7.908,1,0.108,0.306,0.0,0.0757,0.826,85.721,4
413618,3GKMm5VAowLOHkt7v7Ctan,燭光晚餐,26,209520,0,['Gary Chaw'],['1mfzcypCggFwpCJ1gmi8BK'],2005-12-30,0.742,0.438,3,-8.262,0,0.0362,0.595,0.0,0.341,0.554,121.386,4
462079,456M8X1z2e4b0k8kJm43qS,Le chant des sirènes,44,347466,0,['Orelsan'],['4FpJcNgOvIpSBeJgRg3OfN'],2011-09-26,0.583,0.614,11,-6.83,0,0.172,0.111,0.0,0.0681,0.684,76.158,4
503686,1LUdVxpkL6pt4VLZ9s2ZhA,Münchner G'schichten,10,113933,0,['Michael Starch'],['4tlb4mXngJanc4I0r0yv97'],1995-03-01,0.511,0.176,0,-16.518,1,0.0458,0.959,0.873,0.0861,0.335,83.51,4
209696,5CqOaqXVAqZggLkh3jYN9T,El Que Manda Soy Yo,41,242078,0,['Victor Muñoz'],['6KZqNo012bWnbPCSvBqKN2'],2009,0.736,0.892,7,-4.57,1,0.118,0.426,0.0,0.0489,0.827,116.954,4
504060,6H1J9QWAFwLV43GRNZ2P0b,Aber Sie san schiach,10,46653,0,['Joe Hans Wirtl'],['4V8kdr5P3wbMWlmN49ZJ0I'],1998-01-01,0.762,0.274,7,-14.88,0,0.925,0.914,0.0,0.297,0.66,87.664,4
65214,74M6T8WDjIQJq270AeBJBf,El 7 de Septiembre,46,302640,0,['Mecano'],['5BMgsAFg8rZQc3tqs5BB8G'],1991,0.614,0.528,2,-9.635,0,0.0312,0.729,0.0839,0.302,0.368,90.965,4
362423,1pqcNSdmTaiJ7li0rdtPJT,Çocuk ve Dev,16,175920,0,['Sezen Aksu'],['64d1rUxfizSAOE9UbMnUZd'],1978-07-01,0.383,0.498,2,-7.81,1,0.0299,0.722,0.00226,0.258,0.511,113.364,4
121241,4yXdq05zp6kYzZyVJgs0Dq,Want to Want Me,0,206280,0,['Jason Derulo'],['07YZf4WDAMNwqr4jfgOZ8y'],2021-04-16,0.772,0.643,0,-6.24,0,0.063,0.0102,0.0,0.0705,0.669,114.031,4
424131,6i5l2zdVKAqiMwBbY00jiO,Y Me Enamoré,52,264107,0,['Grupo Romance'],['41zjYa33Hb5JoyXyoSFEDP'],1994-01-01,0.564,0.522,2,-9.401,1,0.0254,0.18,3.63e-06,0.104,0.332,145.668,4
580870,1VCSqVVXQxgR3TqzdR5H0K,Och du tände stjärnorna,24,204573,0,['Thorleifs'],['5nFrP7P3n5fP5PVFTP4hoz'],1994-07-13,0.557,0.658,0,-6.752,1,0.0288,0.387,6.81e-06,0.303,0.682,113.969,4
114405,6cAKeFFYW2aClZSUyvqAEW,It's Gotta Be You,65,193447,0,['Isaiah Firebrace'],['5lXfVoQxVgC5fpjkVqvNYn'],2016-12-09,0.422,0.745,8,-4.632,1,0.0378,0.221,0.0,0.0981,0.588,95.487,4
506529,1z1ppPkeWcJOYwfIhTElhb,Requiem,26,251227,0,['Karthago'],['7vLMjlb9wZBd3n2V9dR6Lq'],1993-09-01,0.275,0.26,0,-14.904,1,0.0458,0.102,0.0129,0.137,0.103,146.248,4
16778,3kAT6TOMLWVCEECuSDXQxH,Voglio scoprir l'America,0,178442,0,['Natalino Otto'],['7l1PI6pNxgE4z5Ej4eZj5j'],1942-11-23,0.884,0.139,10,-19.17,1,0.109,0.991,0.0134,0.148,0.915,120.073,4
25035,74vwhiyR3EOsky0G1hdZs5,E Spingole Frangese,7,195373,0,['Roberto Murolo'],['4Y7fW86VPX4T4Ojio2fQCm'],1951,0.62,0.0913,2,-17.653,1,0.244,0.95,0.0,0.105,0.59,76.814,4
